Section,n,avg degree,avg geodesic len,num components,largest component size
70,148,32.189189189189186,3.528957528957529,1,148
71,150,33.96,3.4638031319910514,1,150
72,151,34.05298013245033,3.345253863134658,1,151
73,168,34.38095238095238,3.325278015397776,1,168
74,168,35.11904761904762,3.32670373538637,1,168
75,168,35.345238095238095,3.318149415454805,1,168
76,171,40.67836257309941,3.265841073271414,1,171
77,174,41.57471264367816,3.137266626802206,1,174
78,174,41.57471264367816,3.137266626802206,1,174
79,174,41.64367816091954,3.137266626802206,1,174
80,174,41.67816091954023,3.137266626802206,1,174
81,174,41.88505747126437,3.1350740814563816,1,174
82,174,41.93103448275862,3.135206962992492,1,174
83,174,41.98850574712644,3.135206962992492,1,174
84,177,42.88135593220339,3.114727786337956,1,177
85,178,42.8876404494382,3.1131213102266235,1,178
86,178,42.96629213483146,3.1118517107852472,1,178
87,178,43.21348314606742,3.113629150003174,1,178
88,178,43.42696629213483,3.107154192852155,1,178
89,179,43.92178770949721,3.0634611763228925,1,179
90,179,44.25698324022346,3.0654698386793044,1,179
91,180,44.6,3.078584729981378,1,180
92,180,45.266666666666666,3.082060831781502,1,180
93,181,45.13812154696133,3.1015960712093307,1,181
94,181,45.73480662983425,3.1007366482504604,1,181
95,184,45.130434782608695,3.107864100736517,1,184
96,184,45.34782608695652,3.112615823235923,1,184
97,187,46.86631016042781,3.0927491231096544,1,187
98,187,47.36898395721925,3.0999942498993733,1,187
99,187,47.54010695187166,3.0999942498993733,1,187
100,190,47.21052631578947,3.099248120300752,1,190
101,191,47.225130890052355,3.1107743179939376,1,191
102,191,47.225130890052355,3.1107743179939376,1,191
103,191,47.61256544502618,3.0716450812896117,1,191
104,193,47.25388601036269,3.0846286701208983,1,193
105,194,52.5360824742268,3.0101490305005076,1,194
106,195,52.47179487179487,3.0096219931271477,1,195
107,195,52.61538461538461,3.007930214115781,1,195
108,195,53.343589743589746,2.9937615648955855,1,195
109,195,53.343589743589746,2.9937615648955855,1,195
110,195,53.3948717948718,2.990589479249273,1,195
111,195,53.85641025641026,2.98345228654507,1,195
112,195,54.13333333333333,2.9753634681469734,1,195
113,195,54.174358974358974,2.9753634681469734,1,195
114,195,54.215384615384615,2.9753634681469734,1,195
115,196,54.173469387755105,2.9757195185766614,1,196
116,196,54.53061224489796,2.976661433804291,1,196
117,196,55.265306122448976,2.974306645735217,1,196
118,196,55.295918367346935,2.974306645735217,1,196
119,196,55.642857142857146,2.9583987441130297,1,196
120,196,56.234693877551024,2.953950811093668,1,196
121,197,56.233502538071065,2.9581477260955142,1,197
122,197,56.243654822335024,2.9581477260955142,1,197
123,198,59.04040404040404,2.9305747833666613,1,198
124,198,59.15151515151515,2.9254473670717327,1,198
125,199,62.040201005025125,2.9063499314755594,1,199
126,199,62.391959798994975,2.92731333434851,1,199
127,199,62.64321608040201,2.9255875336277346,1,199
128,199,64.64321608040201,2.911476574793158,1,199
129,200,64.6,2.9141708542713567,1,200
130,200,65.94,2.9051256281407034,1,200
131,200,67.62,2.895427135678392,1,200
132,201,67.3731343283582,2.9086069651741293,1,201
133,201,67.8407960199005,2.89910447761194,1,201
134,201,68.02985074626865,2.8918407960199004,1,201
135,201,68.12935323383084,2.89089552238806,1,201
136,202,67.96039603960396,2.8929609378848333,1,202
137,202,68.06930693069307,2.889906901137875,1,202
138,202,68.06930693069307,2.889906901137875,1,202
139,202,68.06930693069307,2.889906901137875,1,202
140,202,68.06930693069307,2.889906901137875,1,202
141,202,68.07920792079207,2.889906901137875,1,202
142,202,68.07920792079207,2.889906901137875,1,202
143,202,69.02970297029702,2.8875424855918426,1,202
144,202,69.1980198019802,2.8838480863011675,1,202
145,202,69.24752475247524,2.8838480863011675,1,202
146,202,69.26732673267327,2.8838480863011675,1,202
147,202,69.26732673267327,2.8838480863011675,1,202
148,202,69.26732673267327,2.8838480863011675,1,202
149,203,69.08374384236453,2.8925035360678923,1,203
150,203,69.08374384236453,2.8925035360678923,1,203
151,203,69.21182266009852,2.890406282007511,1,203
152,207,68.42512077294685,2.9143098353735755,1,207
153,207,68.45410628019323,2.913700107874865,1,207
154,207,68.78260869565217,2.9204071103606775,1,207
155,207,70.45410628019323,2.9110266873035973,1,207
156,207,70.6086956521739,2.8995356690586744,1,207
157,207,70.6376811594203,2.8995356690586744,1,207
158,209,70.37320574162679,2.8873297754876703,1,209
159,211,71.57345971563981,2.885398329948093,1,211
160,211,72.06635071090048,2.8837282780410742,1,211
161,212,71.80188679245283,2.8892515425198964,1,212
162,212,72.37735849056604,2.8858982383975675,1,212
163,212,72.48113207547169,2.8867030313869266,1,212
164,212,73.35849056603773,2.8898327819011,1,212
165,212,73.5754716981132,2.8875078243762853,1,212
166,212,75.12264150943396,2.881471876956094,1,212
167,214,75.14953271028037,2.8863147733754553,1,214
168,215,76.78139534883721,2.8928928493805692,1,215
169,218,76.29357798165138,2.9313406333234684,1,218
170,218,76.41284403669725,2.9284657337335647,1,218
171,218,76.62385321100918,2.932608971377838,1,218
172,218,76.93577981651376,2.929142180695895,1,218
173,218,77.40366972477064,2.922504544878028,1,218
174,218,78.34862385321101,2.9235192153215235,1,218
175,220,78.06363636363636,2.950643420506434,1,220
176,223,78.01793721973094,2.9553993455338747,1,223
177,223,78.69955156950672,2.955480143820951,1,223
