Section,n,avg degree,avg geodesic len,num components,largest component size
108,189,54.68783068783069,3.0653495440729484,1,189
112,189,54.973544973544975,3.0503208375548803,1,189
114,189,55.01587301587302,3.0503208375548803,1,189
115,190,54.97894736842105,3.03052074631022,1,190
119,190,55.33684210526316,3.0165970481759956,1,190
121,191,55.340314136125656,3.019564618352163,1,191
123,192,58.229166666666664,2.988165357766143,1,192
113,192,58.270833333333336,2.988165357766143,1,192
117,193,58.715025906735754,2.9924438687392056,1,193
128,193,60.870466321243526,2.942195595854922,1,193
130,193,62.259067357512954,2.9316709844559585,1,193
131,193,64.01036269430051,2.919311312607945,1,193
125,194,67.02061855670104,2.890016558944501,1,194
133,194,67.4639175257732,2.8812029271940602,1,194
138,194,67.4639175257732,2.8812029271940602,1,194
139,194,67.4639175257732,2.8812029271940602,1,194
140,194,67.4639175257732,2.8812029271940602,1,194
141,194,67.47422680412372,2.8812029271940602,1,194
142,194,67.47422680412372,2.8812029271940602,1,194
143,194,68.44329896907216,2.874739597243737,1,194
144,194,68.61855670103093,2.871214144543561,1,194
159,196,69.91836734693878,2.8695970695970696,1,196
120,196,70.51020408163265,2.8674515960230247,1,196
160,197,70.68020304568527,2.866569978245105,1,197
162,197,71.2994923857868,2.8636693255982597,1,197
127,197,71.55329949238579,2.8618046203252874,1,197
135,197,71.65482233502539,2.8610276597948823,1,197
136,198,71.47474747474747,2.8627903399477,1,198
124,198,71.58585858585859,2.858124391119315,1,198
152,202,70.73267326732673,2.8841436382444217,1,202
72,203,70.62068965517241,2.8782617177973955,1,203
146,203,70.64039408866995,2.8782617177973955,1,203
137,203,70.7487684729064,2.8765546505389454,1,203
134,204,70.58823529411765,2.8751086641553174,1,204
132,204,70.67647058823529,2.881290447213368,1,204
145,204,70.72549019607843,2.881290447213368,1,204
148,204,70.72549019607843,2.881290447213368,1,204
153,204,70.75490196078431,2.8806626098715347,1,204
151,204,70.88235294117646,2.8783927364049067,1,204
155,204,72.57843137254902,2.8692649473582534,1,204
157,204,72.6078431372549,2.8692649473582534,1,204
154,204,72.94117647058823,2.8762194532985608,1,204
156,204,73.09803921568627,2.8647734956051387,1,204
158,206,72.80582524271844,2.8516220696187546,1,206
161,207,72.53140096618357,2.8572768631865295,1,207
168,208,74.23076923076923,2.865198810850985,1,208
189,209,73.98086124401914,2.8784504968715496,1,209
169,212,73.51886792452831,2.919431279620853,1,212
171,212,73.73584905660377,2.916435661271573,1,212
173,212,74.21698113207547,2.9093713672538675,1,212
163,212,74.32075471698113,2.9094607886971295,1,212
164,212,75.19811320754717,2.9131270678708754,1,212
165,212,75.41509433962264,2.910176160243226,1,212
166,212,76.9622641509434,2.904274344987928,1,212
167,214,76.97196261682242,2.9089114123996316,1,214
129,214,77.23364485981308,2.91027159843798,1,214
176,217,77.19815668202764,2.914746543778802,1,217
178,217,77.25345622119816,2.917221368834272,1,217
180,217,77.63133640552995,2.9172640382317803,1,217
170,217,77.75115207373273,2.9143198498037206,1,217
175,219,77.4703196347032,2.9391311633362656,1,219
172,219,77.78082191780823,2.9360311675254493,1,219
174,219,78.73059360730593,2.936994679736919,1,219
177,219,79.42465753424658,2.935570357337355,1,219
179,219,79.94520547945206,2.938041975618952,1,219
181,219,79.94520547945206,2.938041975618952,1,219
186,219,82.42922374429224,2.9329730635499143,1,219
190,221,82.68778280542986,2.944055944055944,1,221
182,226,82.70796460176992,2.9891052114060965,1,226
184,226,82.90265486725664,2.9891052114060965,1,226
183,226,82.90265486725664,2.9891052114060965,1,226
185,226,82.90265486725664,2.9891052114060965,1,226
187,226,82.929203539823,2.9892625368731562,1,226
188,226,82.929203539823,2.9892625368731562,1,226
191,226,82.93805309734513,2.9865486725663715,1,226
192,226,83.61061946902655,2.9913470993117013,1,226
1,229,83.51965065502183,3.0109936413085117,1,229
3,229,83.56331877729258,3.011223473530989,1,229
4,229,83.60698689956332,3.011223473530989,1,229
5,229,83.77292576419214,3.0113383896422277,1,229
